"RH_CT_Int_Ctrl1" "RH_CT_Int_Ctrl2" "RH_CT_Int_Ctrl3" "RH_CT_Int_Ctrl4" "RH_CT_Int_BM1" "RH_CT_Int_BM2" "RH_CT_Int_BM3" "RH_CT_Int_BM4" "RH_CT_Ext_Ctrl1" "RH_CT_Ext_Ctrl2" "RH_CT_Ext_Ctrl3" "RH_CT_Ext_Ctrl4" "RH_CT_Ext_BM1" "RH_CT_Ext_BM2" "RH_CT_Ext_BM3" "RH_CT_Ext_BM4"
"SH0937075.09FU" 0 0 0 0 0 1 0 0 0 0 8 20 0 0 0 8
"SH0937076.09FU" 7 0 0 9 0 0 1 6 8 0 4 0 0 0 0 0
"SH0938488.09FU" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0938587.09FU" 1 2 7 0 1 2 0 0 1 0 40 2 0 1 0 0
"SH0938719.09FU" 1 2 0 0 78 3 11 0 0 3 2 0 34 29 39 11
"SH0938810.09FU" 0 0 1 0 4 0 0 0 0 0 0 0 1 4 4 0
"SH0938863.09FU" 92 64 187 35 213 330 87 24 150 45 62 8 165 76 36 25
"SH0938878.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0
"SH0938910.09FU" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1
"SH0940239.09FU" 1 0 54 60 0 0 21 97 0 0 0 0 0 0 5 0
"SH0941075.09FU" 51 130 130 189 633 341 237 478 204 379 186 459 63 48 93 109
"SH0941164.09FU" 109 163 338 410 1060 1098 340 917 357 112 736 257 266 477 278 192
"SH0941165.09FU" 7 6 18 10 18 4 6 1 20 67 50 69 2 17 5 15
"SH0941168.09FU" 2 0 1 0 20 0 15 0 0 0 7 0 0 6 0 2
"SH0941173.09FU" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0941651.09FU" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 4 0
"SH0941667.09FU" 0 5 4 0 7 0 0 0 0 3 5 0 1 0 0 0
