kingdom	phylum	class	order	family	genus	species
SH0902181.09FU	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Acaulium	s__Acaulium_album
SH0902182.09FU	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Acaulium	s__Acaulium_acremonium
SH0902250.09FU	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Onygenales_gen_Incertae_sedis	s__Onygenales_sp
SH0902763.09FU	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbiliaceae_gen_Incertae_sedis	s__Orbiliaceae_sp
SH0902929.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	s__Claroideoglomus_sp
SH0902966.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	s__Claroideoglomus_sp
SH0902983.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	s__Claroideoglomus_sp
SH0902990.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	s__Claroideoglomus_sp
SH0903344.09FU	Fungi	Blastocladiomycota	Blastocladiomycota_cls_Incertae_sedis	Blastocladiomycota_ord_Incertae_sedis	Blastocladiomycota_fam_Incertae_sedis	Blastocladiomycota_gen_Incertae_sedis	s__Blastocladiomycota_sp
SH0903500.09FU	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Alphamycetaceae	Betamyces	s__Betamyces_sp
SH0903505.09FU	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Alphamycetaceae	Betamyces	s__Betamyces_sp
SH0903506.09FU	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Alphamycetaceae	Betamyces	s__Betamyces_sp
SH0903508.09FU	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Alphamycetaceae	Betamyces	s__Betamyces_sp
SH0903512.09FU	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Alphamycetaceae	Betamyces	s__Betamyces_sp
SH0903514.09FU	Fungi	Chytridiomycota	Chytridiomycota_cls_Incertae_sedis	Chytridiomycota_ord_Incertae_sedis	Chytridiomycota_fam_Incertae_sedis	Chytridiomycota_gen_Incertae_sedis	s__Chytridiomycota_sp
SH0903515.09FU	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Alphamycetaceae	Betamyces	s__Betamyces_sp
SH0903525.09FU	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Rhizophydiales_fam_Incertae_sedis	Rhizophydiales_gen_Incertae_sedis	s__Rhizophydiales_sp
SH0903526.09FU	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Rhizophydiales_fam_Incertae_sedis	Rhizophydiales_gen_Incertae_sedis	s__Rhizophydiales_sp
SH0903958.09FU	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	s__Paraglomus_sp
SH0903997.09FU	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	s__Paraglomus_sp
SH0904014.09FU	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Paraglomerales_fam_Incertae_sedis	Paraglomerales_gen_Incertae_sedis	s__Paraglomerales_sp
SH0904015.09FU	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	s__Paraglomus_laccatum
SH0905240.09FU	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	s__Fungi_sp
SH0905381.09FU	Fungi	Neocallimastigomycota	Neocallimastigomycota_cls_Incertae_sedis	Neocallimastigomycota_ord_Incertae_sedis	Neocallimastigomycota_fam_Incertae_sedis	Neocallimastigomycota_gen_Incertae_sedis	s__Neocallimastigomycota_sp
SH0905493.09FU	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Glarea	s__Glarea_sp
SH0905518.09FU	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Helotiales_gen_Incertae_sedis	s__Helotiales_sp
SH0905550.09FU	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Helotiales_gen_Incertae_sedis	s__Helotiales_sp
SH0905731.09FU	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	s__Fungi_sp
SH0905751.09FU	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	s__Coniochaeta_sp
SH0905769.09FU	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	s__Fungi_sp
SH0905822.09FU	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Lecythophora	s__Lecythophora_sp
SH0905823.09FU	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Lecythophora	s__Lecythophora_sp
SH0905922.09FU	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Lecythophora	s__Lecythophora_canina
SH0905941.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariomycetes_ord_Incertae_sedis	Sordariomycetes_fam_Incertae_sedis	Sordariomycetes_gen_Incertae_sedis	s__Sordariomycetes_sp
SH0905953.09FU	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	s__Coniochaeta_sp
SH0905976.09FU	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Lecythophora	s__Lecythophora_sp
SH0905985.09FU	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Lecythophora	s__Lecythophora_sp
SH0906010.09FU	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	s__Coniochaeta_sp
SH0906021.09FU	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	s__Coniochaeta_sp
SH0906047.09FU	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	s__Coniochaeta_deborreae
SH0906112.09FU	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	s__Coniochaeta_rosae
SH0906589.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Darksidea	s__Darksidea_epsilon
SH0906620.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Pleurophoma	s__Pleurophoma_sp
SH0906670.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Sclerostagonospora	s__Sclerostagonospora_sp
SH0906697.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Keissleriella	s__Keissleriella_quadriseptata
SH0906736.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Keissleriella	s__Keissleriella_cladophila
SH0906750.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Sclerostagonospora	s__Sclerostagonospora_sp
SH0907050.09FU	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Talaromyces	s__Talaromyces_albobiverticillius
SH0907055.09FU	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Talaromyces	s__Talaromyces_chlorolomus
SH0907094.09FU	Fungi	Basidiomycota	Agaricomycetes	Boletales	Serpulaceae	Serpula	s__Serpula_himantioides
SH0907104.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	s__Phaeosphaeria_sp
SH0907115.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	s__Phaeosphaeria_triglochinicola
SH0907290.09FU	Fungi	Rozellomycota	Rozellomycota_cls_Incertae_sedis	Rozellomycota_ord_Incertae_sedis	Rozellomycota_fam_Incertae_sedis	Rozellomycota_gen_Incertae_sedis	s__Rozellomycota_sp
